"Key";"Node0";"Node1";"Node2";"Node3";"Node4";"Node5";"Node6";"Node7";"Node8";"Node9";"Node10";"Node11";"Node12";"Node13";"Node14";"Node15";"Node16";"Node17";"Node18";"Node19";"Node20";"Node21";"Node22";"Node23";"Node24";"Node25";"Node26";"Node27";"Node28";"Node29";"Node30";"Node31";"Node32";"Node33";"Node34";"Node35";"Node36";"Node37";"Node38";"Node39";"Node40";"Node41";"Node42";"Node43";"Node44";"Node45";"Node46";"Node47";"Node48";"Node49"
"setUp";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"---------sent messages----------";171;18;21;18;19;17;18;14;14;13;11;10;9;8;10;6;7;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;6;6;3
"GROUP_LEADER_COMMAND";117;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;0
"G_DISCOVERED_N";14;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1
"GROUP_LEADER_COMMAND_ACK";0;15;15;12;13;11;12;8;8;7;5;4;3;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1
"GROUP_COORDINATION_COMMAND";40;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"GROUP_COORDINATION_COMMAND_ACK";0;1;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"---------received messages----------";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GROUP_LEADER_COMMAND";0;15;15;12;13;11;12;8;8;7;5;4;3;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1
"G_DISCOVERED_N";27;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1
"GROUP_COORDINATION_COMMAND";0;1;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"GROUP_LEADER_COMMAND_ACK";117;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;0
"GROUP_COORDINATION_COMMAND_ACK";40;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"---------Groups----------";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"leaded groups";1;1;1;0;1;1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"followed groups";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"leaded universe size";15;1;1;0;1;1;1;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"av";11.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
